comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
4.07;355;1;0;1;32;522;1;0;5;10000;10000;0;25000;500;0;0;0;1;.039487;NA;.040532;.078698;.078694;.120000;8;66
3.97;356;1;0;1;32;522;1;0;5;10000;10000;0;25000;500;0;0;0;1;.046322;NA;.042311;.051275;.051272;.100000;9;80
4.01;354;1;0;1;32;522;1;0;5;10000;10000;0;25000;500;0;0;0;1;.040951;NA;.040759;.061583;.061572;.100000;9;76
3.88;355;1;0;1;32;522;1;0;5;10000;10000;0;25000;500;0;0;0;1;.035443;NA;.037845;.089324;.089313;.120000;9;55
3.77;356;1;0;1;32;522;1;0;5;10000;10000;0;25000;500;0;0;0;1;.041636;NA;.043006;.092286;.092273;.130000;7;60
3.98;355;1;0;1;32;522;1;0;5;10000;10000;0;25000;500;0;0;0;1;.039305;NA;.043773;.060126;.060114;.100000;9;81
3.77;356;1;0;1;32;522;1;0;5;10000;10000;0;25000;500;0;0;0;1;.041062;NA;.041674;.068334;.068322;.110000;7;71
4.00;357;1;0;1;32;522;1;0;5;10000;10000;0;25000;500;0;0;0;1;.042373;NA;.045058;.068255;.068249;.110000;7;74
3.85;357;1;0;1;32;522;1;0;5;10000;10000;0;10000;500;0;0;0;1;.040083;NA;.041787;.064954;.064943;.100000;7;75
3.83;356;1;0;1;32;522;1;0;5;10000;10000;0;10000;500;0;0;0;1;.052610;NA;.041601;.066110;.066102;.120000;7;66
4.04;357;1;0;1;32;522;1;0;5;10000;10000;0;10000;500;0;0;0;1;.042704;NA;.044479;.083105;.083092;.130000;9;66
3.83;356;1;0;1;32;522;1;0;5;10000;10000;0;10000;500;0;0;0;1;.052398;NA;.044451;.091271;.091263;.140000;7;57
4.10;355;1;0;1;32;522;1;0;5;10000;10000;0;10000;500;0;0;0;1;.045779;NA;.041596;.059400;.059390;.100000;9;75
4.13;355;1;0;1;32;522;1;0;5;10000;10000;0;10000;500;0;0;0;1;.042095;NA;.043356;.066370;.066357;.110000;9;75
3.82;356;1;0;1;32;522;1;0;5;10000;10000;0;10000;500;0;0;0;1;.043666;NA;.040845;.059447;.059438;.100000;9;77
